sku_id,Category,name,mrp,discountPercent,availableQuantity,discountedSellingPrice,weightInGms,outOfStock,quantity
931,Munchies,Hershey's Cocoa - Natural Unsweetened,27000,10,4,24300,225,FALSE,225
932,Munchies,Weikfield Veg Jelly Crystals - Mango,4500,2,6,4400,90,FALSE,90
933,Munchies,Praakritik Orrganic Cold Pressed Sesame Oil,13000,10,5,11700,100,FALSE,100
934,Munchies,Amulya Dairy Whitener ,38000,2,4,37200,1000,FALSE,1
935,Munchies,ITC Master Chef Hyderabadi Biryani,7500,30,5,5200,80,FALSE,80
936,Munchies,Flying Bird Butter Scotch Essence,5000,2,6,4900,20,FALSE,20
937,Munchies,Dabur Hommade - Ginger Paste,5000,6,6,4700,200,FALSE,200
938,Munchies,Popular Essentials Green Peas (Un-Polished),12000,10,5,10800,500,FALSE,500
939,Munchies,Quaker Oats Pouch,27600,10,6,24800,1500,FALSE,1
940,Munchies,24 Mantra Organic Urad White Whole,14500,15,4,12200,500,FALSE,500
941,Munchies,Popular Essentials Guntur Chilli Stemless,4000,2,2,3900,100,FALSE,100
942,Munchies,Popular Essentials Moth Whole,9000,10,6,8100,500,FALSE,500
943,Munchies,Keya Pizza Seasoning,10900,17,6,9000,45,FALSE,45
944,Munchies,Keya Piri Piri | Exotic Spices Mix,10900,20,6,8700,80,FALSE,80
945,Munchies,24 Mantra Organic Moong Dal,13500,7,6,12500,500,FALSE,500
946,Munchies,Betty Crocker French Vanilla Cake Mix,31000,10,6,27600,520,FALSE,520
947,Munchies,Delight Nuts Dried Cranberries ,34000,20,6,27200,200,FALSE,200
948,Munchies,Everest Kesari Milk Masala,20500,0,2,20500,50,FALSE,50
949,Munchies,Tong Garden Salted Cocktail Nuts,29500,9,5,26600,160,FALSE,160
950,Munchies,MTR Uttapam Mix,16500,5,6,15600,500,FALSE,500
951,Munchies,Gits Khaman Dhokla Instant Snack Mix,6500,6,6,6100,180,FALSE,180
952,Munchies,Happilo Premium 100% Natural Whole Cashews,33500,29,6,23500,200,FALSE,200
953,Munchies,Everest Dry Mango Powder,8000,0,5,8000,100,FALSE,100
954,Munchies,Dabur Hommade - Ginger Garlic Past Tub,11000,5,6,10400,400,FALSE,400
955,Munchies,Everest Chicken Masala,14700,10,6,13200,200,FALSE,200
956,Munchies,Gits Medu Vada Instant Snack Mix,9000,4,6,8600,200,FALSE,200
957,Munchies,Weikfield Drinking Chocolate Powder,6500,10,6,5800,100,FALSE,100
958,Munchies,Popular Essentials Regular White Lobia,7000,10,6,6300,500,FALSE,500
959,Munchies,Puro Healthy Salt Crystal,13500,7,6,12500,1000,FALSE,1
960,Munchies,Popular Essentials Premium Jeera Rice,14000,0,5,14000,1000,FALSE,1
961,Munchies,Smith & Jones Shahi Paneer Masala Mix,4400,0,6,4400,60,FALSE,60
962,Munchies,Betty Crocker Mug Treats - Chocolate Mix - Pack of 4,20000,11,6,17800,264,FALSE,264
963,Munchies,Smith & Jones Pasta Masala,6000,10,5,5400,108,FALSE,108
964,Munchies,Catch Black Pepper Sprinkler,10000,0,1,10000,50,FALSE,50
965,Munchies,Weikfield Cooker Cake Mix - Chocolate,9500,6,6,8900,150,FALSE,150
966,Munchies,ITC Master Chef Butter Chicken,7500,30,6,5200,80,FALSE,80
967,Munchies,Masala Oats Masala & Coriander ,19500,9,5,17600,500,FALSE,500
968,Munchies,Smith & Jones Mutter Paneer Masala,4200,0,6,4200,60,FALSE,60
969,Munchies,Kitchens of India Dal Bukhara Gravy Mix,11000,30,6,7700,285,FALSE,285
970,Munchies,Popular Essentials Fried Gram (Bengal Gram),7000,10,6,6300,500,FALSE,500
971,Munchies,Gits Jalebi with Maker Dessert Mix,7500,16,6,6300,100,FALSE,100
972,Munchies,Popular Essentials Soya Beans ,8000,6,6,7500,500,FALSE,500
973,Munchies,24 Mantra Organic Roasted Bengal Gram Dal,10500,7,6,9700,500,FALSE,500
974,Munchies,Keya Italian Seasoning,10900,10,6,9800,35,FALSE,35
975,Munchies,MTR Idli/Dosa/Chilly Chutney Powder,11500,0,3,11500,200,FALSE,200
976,Munchies,Delight Nuts Trail Mix ,39900,25,6,29900,200,FALSE,200
977,Munchies,Praakritik Organic Chilka Moong Dal,12000,10,6,10800,500,FALSE,500
978,Munchies,Smith & Jones Garlic & Herbs Masala Mix,9900,0,6,9900,75,FALSE,75
979,Munchies,Eastern Tamarind,6300,0,6,6300,200,FALSE,200
